"","A2_NAME","A2_GAUL_CODE","A2COUNTRY","Area_mun","Area_covered","Pop_mun","Pop_covered","Burden_mun","Burden_covered","Cost_target"
"23","Yangon (North)",1011882,"MMR",4517.35919672085,70.0304108403007,1622469.375,793215,56167.67578125,30880.255859375,3.22394374793663
"37","Jiutepec",1008991,"MEX",55.4821092931189,23.0116519450744,111082.8671875,44152.51953125,3276.98974609375,1500.96826171875,36.3602434781963
"44","Temixco",1008998,"MEX",102.867837915771,14.1264457037711,122550.3828125,19535.05078125,3397.0458984375,688.399597167969,36.3602434781963
"46","Tepoztl",1009000,"MEX",252.817402814326,2.65338069490669,137565.65625,5100.90380859375,2718.47924804688,174.319229125977,39.3150180864187
"49","Gral.  Zuazua",1009003,"MEX",184.837572119708,16.2397348394888,83168.4765625,29125.658203125,2936.06005859375,1090.17590332031,37.722211717307
"50","Guadalupe",1009004,"MEX",117.769146419523,115.698521072127,513015.4375,510361.53125,18041.71875,17954.025390625,31.5933652195384
"55","Ju1rez",1009009,"MEX",246.949776738602,40.9384638465626,179904.546875,91377.3984375,6608.544921875,3381.32763671875,31.5933652195384
"58","Mar",1009012,"MEX",264.175714235118,0.0180281816988114,14392.44921875,24.0521488189697,437.159881591797,0.919239163398743,43.9087666897529
"63","Monterrey",1009017,"MEX",323.541957664698,183.310016832908,794384.3125,509079.34375,23122.166015625,16902.7421875,31.5933652195384
"65","Pesquerea",1009019,"MEX",308.833682194081,11.3990695124269,63873.796875,15190.15625,2270.58837890625,580.546325683594,43.9087666897529
"69","Salinas Victoria",1009023,"MEX",1657.76702553328,8.2335046290332,75052.296875,21589.107421875,2382.6123046875,678.307250976562,36.1178623838723
"70","San Nicolns de los Garza",1009024,"MEX",60.0877848097508,57.7542580826523,236350.34375,229399.671875,9495.642578125,9315.1083984375,33.6132295339125
"110","Mandalay",1011890,"MMR",1135.28389343533,87.704058806736,1249688.5,563430.5625,46811.49609375,24841.669921875,3.88101013600097
"146","BEKASI",1013370,"IDN",1260.11974936035,14.135019865087,2306597.75,145371.265625,81248.4609375,6097.72412109375,18.6808779331725
"151","SIDOARJO",1013610,"IDN",684.958471788723,7.72981335503391,2188753.25,112243.515625,79849.6484375,4389.0205078125,18.1258007472918
"236","Honghe Hani",13308,"CHN",32436.3524314567,46.7597306916891,4582400.5,157478.65625,96958.109375,6457.7265625,20.6975339671783
"239","Lagelu",23028,"NGA",264.886878089916,28.1745136754094,370114.40625,224478.9375,13775.029296875,9132.94921875,2.88710047724283
"283","Blantyre",19321,"MWI",2023.66732726177,208.408368657827,1485883.5,895259.3125,51427.7578125,34737.7734375,0.727186429838056
"346","Kuala Lumpur",37366,"MYS",241.700672339927,221.835023229302,1590031.25,1510790,59651.25,56836.640625,37.5329711426858
"639","Muzaffarnagar",17929,"IND",4048.95650359991,88.8749378956807,4096990,201925.59375,132478.9375,8214.66015625,8.58470765536939
"654","Sheikhupura",23677,"PAK",5822.77518548925,64.3863697169374,4629965.5,377988.9375,114011.875,15516.9443359375,4.52626498831743
"655","Cuscatancingo",15747,"SLV",5.06246028197729,4.92184358896924,28937.599609375,28692.373046875,1200.96813964844,1190.93518066406,3.9350487552844
"676","Tampico",1009191,"MEX",114.501183726851,48.8609367864749,236773.703125,171480.125,8258.8544921875,5951.09765625,36.5680041421349
"679","Victoria",1009194,"MEX",1469.69271117745,23.3378204960493,303924.78125,20263.1953125,8923.0146484375,910.74365234375,51.5496251533099
"721","Campeche",1009224,"MEX",3239.93638493221,23.9918978906988,233234.34375,15784.546875,7659.0185546875,718.109252929688,52.172898682542
"774","Villa Carlos Fonseca A",22495,"NIC",602.804832377678,5.97047893995535,85077.2421875,7032.1513671875,2291.48193359375,252.847549438477,2.77982773057266
"791","San Marcos",15756,"SLV",17.3419971694335,9.8421107903957,73829.375,59779.2890625,2962.57861328125,2343.13842773438,3.9350487552844
"794","Montes De Oca",14540,"CRI",17.5166448753951,9.73047452106048,70543.9296875,51468.87109375,2467.06884765625,2102.35693359375,14.0526649106994
"891","Porto-novo",5922,"BEN",49.7192911920226,25.0636489139485,247647.453125,167244.546875,9615.8740234375,6849.01806640625,1.14087857937424
"897","Jiblah",32891,"YEM",145.69447621917,5.13583015926024,135618.0625,13336.693359375,1944.39697265625,345.859832763672,2.18707188346837
"929","KOTA BANDAR LAMPUNG",1013459,"IDN",280.5187439876,25.3211484388776,815381,154938.515625,30539.73046875,6963.8212890625,20.7635622186177
"959","Munshiganj",5786,"BGD",932.744624570879,78.8082210078137,1967434.625,345668,59459.2109375,12814.576171875,2.16054342214121
"991","Nilphamari",5814,"BGD",1654.39858624287,51.5068245390113,1848046,135375.78125,58373.57421875,5720.7607421875,2.41417758061497
"1048","Administrative unit not available",16736,"GLP",1749.70817130967,66.8478598686499,333302.84375,63442.1640625,12062.5595703125,2379.65673828125,27.2146887200206
"1072","Tudun",22832,"NGA",54.4939246696463,17.3244070820742,302653.9375,131693.0625,11776.8681640625,5766.31591796875,2.77058204422035
"1100","Berrioz",1009293,"MEX",353.358263283315,1.39928712735319,52270.05078125,1798.22009277344,1490.32421875,63.572395324707,40.6539003968834
"1120","Chiapa de Corzo",1009308,"MEX",869.047163338187,11.2830262254117,123345.90625,17142.21484375,4021.84790039062,576.066284179688,38.6686628598324
"1154","Ocozocoautla de Espinosa",1009342,"MEX",2109.26859119569,0.130602225296587,89553.265625,167.803848266602,1875.86193847656,5.93236207962036,40.6539003968834
"1178","Banjul",16405,"GMB",10.8301624755355,5.71603041472992,27085.72265625,27085.72265625,1157.10949707031,1157.10949707031,1.09957223741549
"1225","Delgado",15748,"SLV",34.6957480017499,30.7549159118109,183373.578125,173929.375,7215.26220703125,6845.96875,3.9350487552844
"1269","San Fernando",1009360,"MEX",361.70426425112,11.7205511293618,57122.734375,12912.4794921875,1682.08569335938,494.677642822266,44.0126449060763
"1329","Tuxtla GutiCrrez",1009381,"MEX",340.675961016846,146.133601382609,386041.4375,202964.0625,13514.0791015625,7599.470703125,38.6686628598324
"1368","Bijnor",17899,"IND",4314.33473223604,22.2297521366998,3510680.5,37522.25,102933.390625,1618.97509765625,9.4446965467799
"1383","Bangphlat",26405,"THA",17.5689696649419,17.5689696649419,208478.234375,208478.234375,7941.24951171875,7941.24951171875,23.4696138066537
