"","A2_NAME","A2_GAUL_CODE","A2COUNTRY","Area_mun","Area_covered","Pop_mun","Pop_covered","Burden_mun","Burden_covered","Cost_target"
"11","Magway",1011832,"MMR",9963.1845204317,125.255146227604,1526494.375,116913.3203125,24199.392578125,4457.74609375,3.38977049939273
"18","Dawei",1011859,"MMR",13834.7657792741,74.0573871365578,581782.0625,75536.828125,14858.1298828125,3131.34619140625,3.57164525402452
"23","Yangon (North)",1011882,"MMR",4517.35919672085,365.055686425189,1622469.375,1197305,56167.67578125,45891.81640625,3.22394374793663
"27","Bago",1011884,"MMR",13146.8538238213,169.788917445268,1817799.375,281097.15625,43301.97265625,11309.814453125,3.43256452085473
"31","Quevedo",15467,"ECU",1830.14270078904,23.8355520951596,211326.96875,15407.90625,6753.63134765625,771.901428222656,11.8459105466939
"37","Jiutepec",1008991,"MEX",55.4821092931189,55.4821092931189,111082.8671875,111082.8671875,3276.98974609375,3276.98974609375,27.6921415844366
"38","Jojutla",1008992,"MEX",153.384071698949,4.95719515198186,35694.1171875,2311.99609375,1215.72106933594,84.7431411743164,42.1312855853486
"44","Temixco",1008998,"MEX",102.867837915771,53.5288172479403,122550.3828125,81666.421875,3397.0458984375,2624.59643554688,35.2060380186701
"46","Tepoztl",1009000,"MEX",252.817402814326,33.4606860743226,137565.65625,56687.171875,2718.47924804688,1532.72534179688,29.8505108924572
"49","Gral.  Zuazua",1009003,"MEX",184.837572119708,61.9117681777863,83168.4765625,62952.3046875,2936.06005859375,2381.4013671875,37.722211717307
"50","Guadalupe",1009004,"MEX",117.769146419523,117.769146419523,513015.4375,513015.4375,18041.71875,18041.71875,31.5933652195384
"53","Hualahuises",1009007,"MEX",127.772141265753,7.80580615268968,16106.9853515625,1673.72619628906,507.178344726562,83.8499145507812,57.4014595481396
"55","Ju1rez",1009009,"MEX",246.949776738602,118.928790216693,179904.546875,147459.421875,6608.544921875,5547.55419921875,31.5933652195384
"57","Linares",1009011,"MEX",2539.19202053225,15.3236547919058,69479.1484375,3284.88061523438,1719.16235351562,164.565124511719,57.4014595481396
"58","Mar",1009012,"MEX",264.175714235118,6.41296485485533,14392.44921875,4209.3701171875,437.159881591797,149.296035766602,39.418896302742
"63","Monterrey",1009017,"MEX",323.541957664698,273.730338927635,794384.3125,714158.6875,23122.166015625,22011.76171875,26.676439002911
"65","Pesquerea",1009019,"MEX",308.833682194081,66.4422950033423,63873.796875,54721.54296875,2270.58837890625,2001.96984863281,37.0296846334286
"69","Salinas Victoria",1009023,"MEX",1657.76702553328,41.9897420075333,75052.296875,50454.97265625,2382.6123046875,1777.96533203125,36.1178623838723
"70","San Nicolns de los Garza",1009024,"MEX",60.0877848097508,60.0877848097508,236350.34375,236350.34375,9495.642578125,9495.642578125,30.0005588504267
"72","Santiago",1009026,"MEX",746.34198394678,3.95651828300177,36196.14453125,1592.37646484375,982.27978515625,63.8686561584473,43.3201220534898
"89","San Juan Guichicovi",1009043,"MEX",738.310588467354,6.03046762732256,26258.033203125,1891.64538574219,653.786010742188,85.3865737915039,51.7689245502796
"99","San Mateo del Mar",1009053,"MEX",98.825280728152,3.91222514189564,8184.1396484375,1279.166015625,292.08935546875,53.424446105957,47.9369523541781
"106","Sittwe",1011885,"MMR",11214.4563603042,104.084911900374,1119194.875,184039.796875,27839.447265625,6974.08837890625,2.95024033262079
"107","JOMBANG",1013317,"IDN",1090.20978627673,142.955321098327,1318316,421901.6875,47692.21875,17481.365234375,15.9834789163911
"109","KOTA CILEGON",1013319,"IDN",193.197467001706,32.4954812223411,344383.75,92986.3203125,13400.9228515625,3784.25341796875,18.139562352234
"110","Mandalay",1011890,"MMR",1135.28389343533,310.649440525399,1249688.5,1063239.875,46811.49609375,42924.2109375,2.52319172820554
"115","Kengtung",1011915,"MMR",13795.9724021237,23.682772480177,300078,27862.0234375,6130.212890625,1015.58276367188,3.41473362410613
"116","Thayet",1011916,"MMR",11848.91073893,120.110362695132,825685,98881.125,15369.79296875,3935.70727539062,3.34073586017067
"117","Hpa-An",1011928,"MMR",17546.3178243783,17.8450107264132,699549.9375,19400.181640625,14692.8359375,648.480590820312,3.08842945558583
"119","Myingyan",1011934,"MMR",6554.74531874132,47.4742492982866,1398299.875,105875.921875,17872.263671875,3889.53051757812,3.39957755797177
"121","Myeik",1011949,"MMR",18730.6095733791,58.3233466575964,511765.71875,120619.8125,12761.28515625,4312.7392578125,2.99838368847468
"122","Monywa",1011963,"MMR",10375.0537401574,117.934156831231,1453796.375,101410.90625,22808.08984375,4022.01611328125,3.41384234073797
"124","Shwebo",1011973,"MMR",14821.0864210386,46.9157376410655,1534671.5,53896.73828125,28301.794921875,1945.59216308594,3.16866816411793
"126","Thandwe",1011987,"MMR",10669.1925823028,95.7293846686967,347408.65625,69857.6640625,7373.42919921875,2792.17236328125,3.43256452085473
"142","Myitkyina",1012024,"MMR",34880.8268785976,45.8354745141509,392219.9375,63306.73828125,8184.578125,2574.84326171875,3.65010074214712
"143","Thaton",1012026,"MMR",4860.70517876425,81.5110569565738,906403.5,118892.03125,22394.142578125,4613.03271484375,3.50567100142202
"146","BEKASI",1013370,"IDN",1260.11974936035,192.412719589514,2306597.75,1066144.375,81248.4609375,41893.8984375,15.9834789163911
"151","SIDOARJO",1013610,"IDN",684.958471788723,248.566583656247,2188753.25,1321418.625,79849.6484375,51345.83984375,15.4926270381903
"161","PURWAKARTA",1013595,"IDN",894.062577193895,25.2543526668511,788763.6875,165575.25,26806.478515625,5888.908203125,16.529382259554
"163","KEBUMEN",1013442,"IDN",1321.49333481367,25.2113061279746,1170012.375,81201.2265625,36807.78125,3053.88720703125,17.4514518339619
"236","Honghe Hani",13308,"CHN",32436.3524314567,70.1395960375336,4582400.5,197849.03125,96958.109375,8070.365234375,20.6975339671783
"239","Lagelu",23028,"NGA",264.886878089916,55.6165607567276,370114.40625,321938.1875,13775.029296875,12383.029296875,2.18602617562007
"240","Al Qurishy",32717,"YEM",581.461567963173,18.599591480181,89033.703125,17063.666015625,751.702209472656,490.195648193359,2.39677605293418
"246","Sanaga-Maritime",12489,"CMR",8982.28061563595,4.63966128802461,455392.5,12122.2763671875,13464.291015625,440.999938964844,1.20449475125681
"261","Buxar",70098,"IND",1709.90785099551,201.522171978823,1598782.25,393106.90625,47782.81640625,12284.2119140625,6.40880611154398
"280","Name Unknown",13326,"CHN",8923.41057698104,44.6535737521097,2289754.25,115978.3984375,47213.15625,4341.2978515625,19.0783885984622
"283","Blantyre",19321,"MWI",2023.66732726177,476.103104531803,1485883.5,1175170.625,51427.7578125,45187.2734375,0.679515038974468
"291","Chichigalpa",22425,"NIC",191.873240237828,24.5366340408888,55989.6484375,14283.1083984375,2027.23461914062,620.628540039062,3.51205127613122
"346","Kuala Lumpur",37366,"MYS",241.700672339927,241.700672339927,1590031.25,1590031.25,59651.25,59651.25,37.5329711426857
"367","Muang Trang",27119,"THA",442.714108461462,122.831034086419,131060.09375,48905.01953125,4620.7548828125,2079.93872070312,26.6555881742829
"386","Sao Goncalo Do Amarante",10114,"BRA",260.47299686136,22.077687862334,165884.34375,65160.26171875,6241.6484375,2633.53271484375,7.44720727466662
"405","Singha Nakhon",27051,"THA",154.204935116954,39.9520733650279,53224.01171875,16471.1015625,1714.14770507812,618.4228515625,23.7264346045861
"456","Junagadh",17642,"IND",8214.98685679372,69.640804162337,2505885,65656.0390625,45249.59375,2669.39916992188,8.79646406036821
"461","Laem Sing",26487,"THA",192.746807156413,8.9796268758551,36062.49609375,3300.84008789062,1321.92663574219,145.876953125,29.7929760612951
"465","Colon",23719,"PAN",1844.52639568364,25.1116279287333,243078.40625,20355.017578125,8275.84765625,914.870727539062,15.4357452730511
"466","Name Unknown",13013,"CHN",12727.9193050517,22.2995728544659,2956196.25,63850.93359375,42494.62109375,2099.65087890625,17.2243695506015
"486","Matang",37396,"MYS",1276.59300748547,76.0347464607041,317380.8125,130106.71875,11260.1513671875,5349.419921875,43.9696130614064
"521","Tamazunchale",1009157,"MEX",354.114732816198,30.571142926771,88168.890625,14635.001953125,2319.36279296875,559.3291015625,43.9087666897529
"528","Esteban Echeverria",4418,"ARG",388.788284678723,19.917582886646,538409.75,53164,14164.0185546875,1930.10192871094,17.2793221708012
"639","Muzaffarnagar",17929,"IND",4048.95650359991,1107.44148378117,4096990,1509534.375,132478.9375,57061.3984375,7.34442240361605
"647","Bauchi",22661,"NGA",3469.12661362535,100.158631493076,651992.6875,199841.25,22795.70703125,7823.57080078125,2.77058204422035
"651","Dausa",70237,"IND",3589.83684846795,105.642743426229,1633096.875,99879.0390625,47249.61328125,3879.24340820312,7.70094999389561
"654","Sheikhupura",23677,"PAK",5822.77518548925,308.058653202708,4629965.5,1156854.375,114011.875,42913.8671875,3.51532751673415
"655","Cuscatancingo",15747,"SLV",5.06246028197729,5.06246028197729,28937.599609375,28937.599609375,1200.96813964844,1200.96813964844,3.9350487552844
"666","Reynosa",1009186,"MEX",3121.80087387785,112.8827052764,441073.59375,100343.015625,10231.6962890625,3566.62426757812,35.8870200225795
"672","R3o Bravo",1009187,"MEX",1559.67360715486,45.9325955754254,101091.2265625,29572.69921875,2622.43090820312,1095.48559570312,41.0117026718537
"676","Tampico",1009191,"MEX",114.501183726851,114.139161915067,236773.703125,236704.609375,8258.8544921875,8256.3251953125,30.7738782219825
"679","Victoria",1009194,"MEX",1469.69271117745,210.040384464443,303924.78125,173749.40625,8923.0146484375,6527.18359375,37.0296846334286
"699","Mexicali",1009214,"MEX",14445.5606314638,43.3442838108666,766836.625,46725.6875,12197.7578125,1393.16613769531,32.886077788357
"705","La Paz",1009220,"MEX",15530.9812942741,23.2510129754296,242543.40625,12729.5615234375,3366.14135742188,446.017578125,40.2960938906212
"712","Ikwuano",22594,"NGA",253.694103721989,19.6858959786497,122438.375,41298.71484375,4172.611328125,1690.89196777344,2.80003879640605
"721","Campeche",1009224,"MEX",3239.93638493221,199.074983915421,233234.34375,112765.6484375,7659.0185546875,4434.17041015625,39.3496427480958
"756","Muang Nakhon Ratchasima",26712,"THA",769.390474074841,589.461520993933,440841.96875,367876.375,16282.6318359375,14270.6806640625,22.8310300936431
"774","Villa Carlos Fonseca A",22495,"NIC",602.804832377678,5.97047893995535,85077.2421875,7032.1513671875,2291.48193359375,252.847549438477,2.77982773057266
"780","Iseyin",23026,"NGA",2814.2957767728,75.5639819570837,357947.96875,198442.703125,12434.9599609375,8065.71630859375,2.80985779379246
"789","Tsaratanana",19256,"MDG",12593.1187367144,24.3307668783675,127584.0546875,4985.27099609375,2074.33154296875,185.008148193359,0.904732254060835
"791","San Marcos",15756,"SLV",17.3419971694335,17.3419971694335,73829.375,73829.375,2962.57861328125,2962.57861328125,3.51409142044246
"794","Montes De Oca",14540,"CRI",17.5166448753951,9.73047452106048,70543.9296875,51468.87109375,2467.06884765625,2102.35693359375,14.0526649106994
"828","Frontera",1009243,"MEX",456.131684743322,8.9803692053952,83322.03125,4428.03857421875,1931.97534179688,177.332824707031,45.9863437100962
"843","Mahajanga I",19247,"MDG",233.359878792717,8.04644387588638,9365.9150390625,5796.75732421875,334.977783203125,246.822036743164,0.776626917067689
"868","Buldana",17762,"IND",9603.78002678614,238.584363148301,2509970.5,260929.953125,64812.77734375,10291.9384765625,7.83275790776112
"874","Passore",12141,"BFA",3992.10176247568,26.7886195868429,420161.75,10083.6708984375,6786.408203125,378.603088378906,1.12475612296429
"890","Monclova",1009251,"MEX",1251.08062307106,13.7587338054215,162483.453125,6781.13037109375,3320.6787109375,271.568786621094,45.9863437100962
"891","Porto-novo",5922,"BEN",49.7192911920226,37.7747434219198,247647.453125,230012.203125,9615.8740234375,9127.8837890625,1.017486903607
"897","Jiblah",32891,"YEM",145.69447621917,17.1976834977703,135618.0625,37565.5703125,1944.39697265625,745.703857421875,1.47941595333753
"903","Rapti",22360,"NPL",10955.2884618336,22.4564506956304,1580451.5,18209.3671875,28487.44140625,665.219604492188,2.28700315401501
"911","Musoma Rural",48431,"TZA",4622.75649927305,19.5290446200249,460931.03125,34182.5703125,7176.8125,1280.69104003906,0.866360988951181
"925","Srei Santhor",12305,"KHM",343.847506869979,27.9769638800511,109949.3046875,11347.5791015625,2507.93725585938,368.120025634766,2.44319329821253
"929","KOTA BANDAR LAMPUNG",1013459,"IDN",280.5187439876,143.685979414629,815381,638289.6875,30539.73046875,25919.326171875,16.529382259554
"933","Franca",11166,"BRA",607.378643202845,23.852177497353,327733,32142.080078125,11873.525390625,1396.63525390625,8.90377271004897
"942","Na Klang",26783,"THA",966.198411115535,43.1571447300736,130003.3515625,12127.6259765625,2927.61108398438,544.034057617188,31.1881414070384
"949","Maraba",25123,"RWA",84.8756716058563,1.7030885781614,51389.91015625,1652.79870605469,336.568420410156,55.3409614562988,1.1686297685411
"955","N'Zerekore",40744,"GIN",4068.35559114164,125.968147176018,416745.71875,155991.609375,11239.6318359375,5092.39453125,0.680729556868217
"959","Munshiganj",5786,"BGD",932.744624570879,313.805861363613,1967434.625,931615.75,59459.2109375,31544.533203125,1.74727552658233
"980","Piedras Negras",1009258,"MEX",494.666176712661,20.2282642838053,110344.796875,11160.62109375,2778.64038085938,418.264068603516,43.0661937635509
"991","Nilphamari",5814,"BGD",1654.39858624287,221.582511294448,1848046,408349.46875,58373.57421875,15912.31640625,2.13940725926063
"1013","Quezalguaque",22477,"NIC",87.5319349664078,8.85404120127827,14952.498046875,6308.8173828125,532.993347167969,247.717330932617,3.19943360643542
"1025","Seremban",37376,"MYS",963.033553516793,101.612727338744,498132.96875,191354.703125,18412.310546875,7970.7001953125,43.9361485023103
"1028","Palavecino",32004,"VEN",305.147672395349,25.052217210331,188049.015625,17221.255859375,6269.375,791.346557617188,12.4929971584906
"1029","Tororo",28541,"UGA",396.32187097584,47.1684471231289,145498.109375,38497.328125,3100.56689453125,884.626220703125,0.945169559653786
"1040","Croix-des-Bouquets",17194,"HTI",1948.65594488948,0.496402378587268,606939.4375,5444.8759765625,14049.0703125,215.894058227539,1.1068788378752
"1048","Administrative unit not available",16736,"GLP",1749.70817130967,179.865076663869,333302.84375,115841.328125,12062.5595703125,4462.7294921875,27.2146887200206
"1072","Tudun",22832,"NGA",54.4939246696463,50.7678626030574,302653.9375,296490.96875,11776.8681640625,11569.392578125,2.45637508774928
